Data,Study,Trait,Sample1,Sample2,AuthorDate,Data.type,Citation,Species,System,Order,Sex,GenPhen,AlloSyn,Autonomous,Trait,Dimensionality (k),BodySizeCorrelated,Years,GLength,Darwins,Darwins.num,Darwins.num.abs,Darwins (standardized by k),Haldanes,Generations,log10.gens,h.num,Darwin.Numerator,log10.years,d,InSitu
58,1,1,NELN,AUCK,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-24.73294645,-0.00554018,0.00554018,-24.73294645,NA,223.9999998,2.350248018,NA,0.00554018,2.350248018,-0.00554018,2
59,1,1,NELN,NEWP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,-24.73294645,-0.00554018,0.00554018,-24.73294645,NA,223.9999998,2.350248018,NA,0.00554018,2.350248018,-0.00554018,2
60,1,1,NELN,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-49.16471241,-0.011111225,0.011111225,-49.16471241,NA,225.9999999,2.354108439,NA,0.011111225,2.354108439,-0.011111225,2
61,1,1,NELN,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-49.16471241,-0.011111225,0.011111225,-49.16471241,NA,225.9999999,2.354108439,NA,0.011111225,2.354108439,-0.011111225,2
62,1,1,NELN,INVE,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-49.16471241,-0.011111225,0.011111225,-49.16471241,NA,225.9999999,2.354108439,NA,0.011111225,2.354108439,-0.011111225,2
63,1,1,NELN,OBAN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-50.50556816,-0.011111225,0.011111225,-50.50556816,NA,220.0000001,2.342422681,NA,0.011111225,2.342422681,-0.011111225,2
64,1,1,AUCK,NEWP,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,223.9999998,1,0,0,0,0,NA,223.9999998,2.350248018,NA,0,2.350248018,0,2
65,1,1,AUCK,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-24.6506416,-0.005571045,0.005571045,-24.6506416,NA,225.9999999,2.354108439,NA,0.005571045,2.354108439,-0.005571045,2
66,1,1,AUCK,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-24.6506416,-0.005571045,0.005571045,-24.6506416,NA,225.9999999,2.354108439,NA,0.005571045,2.354108439,-0.005571045,2
67,1,1,AUCK,INVE,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-24.6506416,-0.005571045,0.005571045,-24.6506416,NA,225.9999999,2.354108439,NA,0.005571045,2.354108439,-0.005571045,2
68,1,1,AUCK,OBAN,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,220.0000001,1,-25.32293181,-0.005571045,0.005571045,-25.32293181,NA,220.0000001,2.342422681,NA,0.005571045,2.342422681,-0.005571045,2
69,1,1,NEWP,WELL,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-24.6506416,-0.005571045,0.005571045,-24.6506416,NA,225.9999999,2.354108439,NA,0.005571045,2.354108439,-0.005571045,2
70,1,1,NEWP,DUND,Baker 1980,Fieldstudy,Evolution 34: 638-653,Passer domesticus,Passer domesticus expansion after introduced to New Zealand,Aves,1,2,2,1,HUMERL,1,1,225.9999999,1,-24.6506416,-0.005571045,0.005571045,-24.6506416,NA,225.9999999,2.354108439,NA,0.005571045,2.354108439,-0.005571045,2
