id[ ],sire[ ],dam[ ],year[ ],diet[ ],"obs[ ,1]","obs[ ,2]","obs[ ,3]",PN[ ],CP[ ],DF[ ]
67,600,600,1,0,-0.658473875,-0.768779094,0.054064875,17.04130435,4.360203268,2214.764348
68,600,600,1,0,0.035695705,0.611000321,-0.097747689,19.83333333,6.995,2196.4
69,600,600,1,0,1.636698301,3.180704708,2.29290338,28.14285714,16.86955,2485.590476
70,600,600,1,0,0.051048786,-0.36284122,-1.108864367,19.9,5.010734694,2074.088
71,600,600,1,0,-1.423701838,-1.129955308,-1.099901426,14.41666667,3.852757009,2075.172222
72,600,600,1,0,0.63315406,-0.59446897,1.112662606,22.6,4.6285,2342.82
73,600,600,1,0,0.952778961,0.002187738,-0.49591089,24.23529412,5.6781875,2148.235294
74,600,600,1,0,0.565170432,0.566412393,0.234794119,22.26666667,6.888965517,2236.626667
75,600,600,1,0,0.647751638,-0.243450138,-1.10856093,22.67222222,5.219924107,2074.124706
76,600,600,1,0,-0.016226875,-0.565883877,-0.967104919,19.60952381,4.674047315,2091.23625
77,600,600,1,0,-0.289988075,0.178212283,-1.668274911,18.47058824,6.031125,2006.417647
78,600,600,1,0,-0.066472196,0.629728943,0.241975254,19.39534884,7.04002381,2237.495349
79,600,600,1,0,0.400098064,-0.601184769,-0.698379007,21.47761194,4.617863636,2123.743284
80,600,600,1,0,-0.536952457,0.840552984,1.68207294,17.5,7.567285714,2411.7
81,600,600,1,0,-1.846938947,1.344595287,-0.403143226,13.14285714,8.993538462,2159.457143
82,600,600,1,0,0.026640355,0.43934916,1.807150945,19.79411765,6.59553125,2426.830342
83,600,600,1,0,0.174127637,-0.510374628,-0.66755758,20.44259991,4.763779661,2127.471667
84,600,600,1,0,-0.08891376,-0.773854274,0.620088561,19.300447,4.352629091,2283.234674
85,600,600,1,0,0.100556643,-0.237146838,0.293074625,20.11650485,5.231207921,2243.676699
86,600,600,1,0,-1.951409259,-0.957922197,1.326191481,12.84615385,4.08664,2368.65
87,600,600,1,0,0.60909767,-0.498159046,0.891225254,22.48148148,4.783756631,2316.033333
88,600,600,1,0,0.884976683,0.088081205,0.301684251,23.87878788,5.84775,2244.718182
89,600,600,1,0,1.716419051,1.235812625,1.010128927,28.63752914,8.664552083,2330.416783
90,600,600,1,0,-0.32744207,2.532850428,-1.1658054,18.32,13.51191667,2067.2
91,600,600,1,0,-0.537574977,0.38668194,0.614428564,17.49761905,6.477598901,2282.55
92,600,600,1,0,-0.136013293,-0.130724779,0.26528504,19.10277778,5.425443627,2240.315069
93,600,600,1,0,-2.140402121,-1.621021974,1.621497372,12.32631579,3.256204301,2404.37234
94,600,600,1,0,-0.21728372,0.859553078,0.881350535,18.76644737,7.616701395,2314.838816
95,600,600,1,0,0.076952192,-0.47184251,1.127452485,20.01298701,4.827078947,2344.609091
96,600,600,1,0,-0.378389274,0.770613939,-0.571665767,18.11712963,7.388133466,2139.071435
97,600,600,1,0,0.114471121,0.144619387,-1.197457678,20.17777778,5.962116279,2063.371111
98,600,600,2,0,0.62605485,0.761830275,-0.959644807,22.54166667,9.805086957,2148.4375
99,600,600,2,0,-0.112555798,-1.016739879,-0.535720942,19.07142857,4.546222222,2203.125
100,600,600,2,0,0.188590535,0.570604162,-0.172357629,20.41666667,9.027391304,2250
101,600,600,2,0,-0.286944522,-0.748149324,-0.354039285,18.33333333,5.10575,2226.5625
102,600,600,2,0,0.511412459,-0.227430294,1.177277535,21.96428571,6.394222222,2424.107143
103,600,600,2,0,0.037610285,0.597102541,-0.340063773,19.73076923,9.13136,2228.365385
104,600,600,2,0,0.144576342,-0.27937089,-0.172357629,20.21428571,6.252296296,2250
105,600,600,2,0,-0.509343222,-1.249620267,-0.802187372,17.43333333,4.110965517,2168.75
106,600,600,2,0,1.026670996,-0.269630519,1.186525698,24.68113711,6.278669414,2425.300185
107,600,600,2,0,0.540055747,-0.269249359,-0.224266673,22.10714286,6.279703704,2243.303571
108,600,600,2,0,-0.526271257,0.736689973,-0.172357629,17.36666667,9.699137931,2250
109,600,600,2,0,0.511660179,0.65144083,1.281095624,21.96551724,9.348321429,2437.5
110,600,600,2,0,-1.076442669,-1.045297529,-0.172357629,15.33333333,4.490461538,2250
111,600,600,2,0,0.266052737,-1.125741712,-1.625810881,20.77777778,4.337038462,2062.5
112,600,600,2,0,0.252829758,0.402478856,-0.884834713,20.71568627,8.394766667,2158.088235
113,600,600,2,0,1.322930374,-0.270507011,-0.743357121,26.39285714,6.276291667,2176.339286
114,600,600,2,0,-1.049085234,-0.016152004,0.294823774,15.42857143,7.005518519,2310.267857
115,600,600,2,0,-0.102384371,0.6635675,1.281095624,19.11538462,9.39744,2437.5
116,600,600,2,0,-0.067555613,-0.028322778,-0.269254512,19.26666667,6.968769231,2237.5
