Z1 Z2 type_final
0.2901 0 AV2
0.0554 0.0408 C1r1
0.0379 0.0046 NA
0.8915 0.1085 PO
0.5339 0.2261 FS
0.0486 0 NA
0 0 NA
0.0929 0 NA
0.08 0 NA
0.0583 0.0071 NA
0.202 0 NA
0.2005 0 C1r1
0.1541 0 NA
0.0417 0 NA
0.3885 0.2858 FS
0.0346 0.0111 C0.5
0.0403 0 NA
0 0 NA
0.2799 0.0073 G2
0.034 0 NA
0.0302 0 NA
0.0441 0 NA
0 0 NA
0.1372 0 NA
0.0821 0 NA
0 0 NA
0.072 0 NA
0 0 NA
0.0369 0 NA
0 0.029 NA
0 0 NA
0.1304 0 NA
0 0 NA
0 0 NA
0.0671 0.0104 NA
0 0.0267 NA
0.4734 0.0915 AV
0.0774 0 NA
0.0109 0.0139 NA
0 0 NA
0 0.0495 NA
0 0.0098 NA
1 0 PO
0.2532 0.018 GAV
0.0547 0.0233 NA
0.0277 0 NA
0.0135 0.0027 NA
0.0169 0 NA
0 0 NA
0 0 NA
0.1393 0 NA
0 0 NA
0.1023 0 NA
0 0 NA
0 0 NA
0.3601 0 GAV
0.0121 0.0189 NA
0 0 NA
0 0.0326 C1r1
0.0271 0 NA
0.018 0 NA
0 0 NA
0.1239 0.0363 NA
0.0537 0 NA
0 0 NA
0 0 NA
0.0254 0.0232 NA
0.0281 0 NA
0.2432 0 C1
0.0103 0 NA
0 0 NA
0 0 NA
0.0757 0 NA
0.0353 0 NA
0.5087 0 G1
0 0 NA
0.974 0.026 PO
0.0852 0.0089 NA
0.0418 0 NA
0.0751 0 NA
0.2437 0 NA
0.0719 0 NA
0.0388 0.0112 NA
0.0453 7e-04 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.1136 0.0302 C1r1
0.0591 0.0182 NA
0.0179 0.0034 NA
0.3349 0.0268 G1
0 0 NA
0.6075 0.1637 FS
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.055 0 NA
1 0 PO
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0 0 NA
0.245 0 C0.5
0 0 NA
0.1187 0 NA
0.0436 0 NA
0.0369 0 NA
0 0 NA
0.5474 0.0204 HS
0.2603 0 AV2
0 0 NA
0.0352 0 NA
0.5236 0.2096 FS
0.0195 0.0019 NA
0 0 NA
0.0427 0 NA
0 0 NA
